voice-gateway-cpp started host=127.0.0.1 port=18080 codec=pcmu ptime_ms=20
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33834 ts=1171478480 ssrc=1523172011 packets_in=17 packets_out=17
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33835 ts=1171478640 ssrc=1523172011 packets_in=18 packets_out=18
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33836 ts=1171478800 ssrc=1523172011 packets_in=19 packets_out=19
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33837 ts=1171478960 ssrc=1523172011 packets_in=20 packets_out=20
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33838 ts=1171479120 ssrc=1523172011 packets_in=21 packets_out=21
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33839 ts=1171479280 ssrc=1523172011 packets_in=22 packets_out=22
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33840 ts=1171479440 ssrc=1523172011 packets_in=23 packets_out=23
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33841 ts=1171479600 ssrc=1523172011 packets_in=24 packets_out=24
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33842 ts=1171479760 ssrc=1523172011 packets_in=25 packets_out=25
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33843 ts=1171479920 ssrc=1523172011 packets_in=26 packets_out=26
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33844 ts=1171480080 ssrc=1523172011 packets_in=27 packets_out=27
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33845 ts=1171480240 ssrc=1523172011 packets_in=28 packets_out=28
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33846 ts=1171480400 ssrc=1523172011 packets_in=29 packets_out=29
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33847 ts=1171480560 ssrc=1523172011 packets_in=30 packets_out=30
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33848 ts=1171480720 ssrc=1523172011 packets_in=31 packets_out=31
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33849 ts=1171480880 ssrc=1523172011 packets_in=32 packets_out=32
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33850 ts=1171481040 ssrc=1523172011 packets_in=33 packets_out=33
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10242 ts=2526351509 ssrc=3976227426 packets_in=1 packets_out=1
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10243 ts=2526351669 ssrc=3976227426 packets_in=2 packets_out=2
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10244 ts=2526351829 ssrc=3976227426 packets_in=3 packets_out=3
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10245 ts=2526351989 ssrc=3976227426 packets_in=4 packets_out=4
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10246 ts=2526352149 ssrc=3976227426 packets_in=5 packets_out=5
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10247 ts=2526352309 ssrc=3976227426 packets_in=6 packets_out=6
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10248 ts=2526352469 ssrc=3976227426 packets_in=7 packets_out=7
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10249 ts=2526352629 ssrc=3976227426 packets_in=8 packets_out=8
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10250 ts=2526352789 ssrc=3976227426 packets_in=9 packets_out=9
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10251 ts=2526352949 ssrc=3976227426 packets_in=10 packets_out=10
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10252 ts=2526353109 ssrc=3976227426 packets_in=11 packets_out=11
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10253 ts=2526353269 ssrc=3976227426 packets_in=12 packets_out=12
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10254 ts=2526353429 ssrc=3976227426 packets_in=13 packets_out=13
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10255 ts=2526353589 ssrc=3976227426 packets_in=14 packets_out=14
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10256 ts=2526353749 ssrc=3976227426 packets_in=15 packets_out=15
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10257 ts=2526353909 ssrc=3976227426 packets_in=16 packets_out=16
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10258 ts=2526354069 ssrc=3976227426 packets_in=17 packets_out=17
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10259 ts=2526354229 ssrc=3976227426 packets_in=18 packets_out=18
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10260 ts=2526354389 ssrc=3976227426 packets_in=19 packets_out=19
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10261 ts=2526354549 ssrc=3976227426 packets_in=20 packets_out=20
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10262 ts=2526354709 ssrc=3976227426 packets_in=21 packets_out=21
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10263 ts=2526354869 ssrc=3976227426 packets_in=22 packets_out=22
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10264 ts=2526355029 ssrc=3976227426 packets_in=23 packets_out=23
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10265 ts=2526355189 ssrc=3976227426 packets_in=24 packets_out=24
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10266 ts=2526355349 ssrc=3976227426 packets_in=25 packets_out=25
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10267 ts=2526355509 ssrc=3976227426 packets_in=26 packets_out=26
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10268 ts=2526355669 ssrc=3976227426 packets_in=27 packets_out=27
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10269 ts=2526355829 ssrc=3976227426 packets_in=28 packets_out=28
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10270 ts=2526355989 ssrc=3976227426 packets_in=29 packets_out=29
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10271 ts=2526356149 ssrc=3976227426 packets_in=30 packets_out=30
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10272 ts=2526356309 ssrc=3976227426 packets_in=31 packets_out=31
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10273 ts=2526356469 ssrc=3976227426 packets_in=32 packets_out=32
event=rtp_tx session_id=day5-1772468080.1-32002 seq=10274 ts=2526356629 ssrc=3976227426 packets_in=33 packets_out=33
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46597 ts=2673629481 ssrc=3392613940 packets_in=1 packets_out=1
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46598 ts=2673629641 ssrc=3392613940 packets_in=2 packets_out=2
