voice-gateway-cpp started host=127.0.0.1 port=18080 codec=pcmu ptime_ms=20
event=rtp_tx session_id=day4-verify-session seq=48426 ts=3217616882 ssrc=847530218 packets_in=22 packets_out=1
event=rtp_tx session_id=day4-verify-session seq=48427 ts=3217617042 ssrc=847530218 packets_in=64 packets_out=2
event=rtp_tx session_id=day4-verify-session seq=48428 ts=3217617202 ssrc=847530218 packets_in=64 packets_out=3
event=rtp_tx session_id=day4-verify-session seq=48429 ts=3217617362 ssrc=847530218 packets_in=64 packets_out=4
event=rtp_tx session_id=day4-verify-session seq=48430 ts=3217617522 ssrc=847530218 packets_in=64 packets_out=5
event=rtp_tx session_id=day4-verify-session seq=48431 ts=3217617682 ssrc=847530218 packets_in=64 packets_out=6
event=rtp_tx session_id=day4-verify-session seq=48432 ts=3217617842 ssrc=847530218 packets_in=64 packets_out=7
event=rtp_tx session_id=day4-verify-session seq=48433 ts=3217618002 ssrc=847530218 packets_in=64 packets_out=8
event=rtp_tx session_id=day4-verify-session seq=48434 ts=3217618162 ssrc=847530218 packets_in=64 packets_out=9
event=rtp_tx session_id=day4-verify-session seq=48435 ts=3217618322 ssrc=847530218 packets_in=64 packets_out=10
event=rtp_tx session_id=day4-verify-session seq=48436 ts=3217618482 ssrc=847530218 packets_in=64 packets_out=11
event=rtp_tx session_id=day4-verify-session seq=48437 ts=3217618642 ssrc=847530218 packets_in=64 packets_out=12
event=rtp_tx session_id=day4-verify-session seq=48438 ts=3217618802 ssrc=847530218 packets_in=64 packets_out=13
event=rtp_tx session_id=day4-verify-session seq=48439 ts=3217618962 ssrc=847530218 packets_in=64 packets_out=14
event=rtp_tx session_id=day4-verify-session seq=48440 ts=3217619122 ssrc=847530218 packets_in=64 packets_out=15
event=rtp_tx session_id=day4-verify-session seq=48441 ts=3217619282 ssrc=847530218 packets_in=64 packets_out=16
event=rtp_tx session_id=day4-verify-session seq=48442 ts=3217619442 ssrc=847530218 packets_in=64 packets_out=17
event=rtp_tx session_id=day4-verify-session seq=48443 ts=3217619602 ssrc=847530218 packets_in=64 packets_out=18
event=rtp_tx session_id=day4-verify-session seq=48444 ts=3217619762 ssrc=847530218 packets_in=64 packets_out=19
event=rtp_tx session_id=day4-verify-session seq=48445 ts=3217619922 ssrc=847530218 packets_in=64 packets_out=20
event=rtp_tx session_id=day4-verify-session seq=48446 ts=3217620082 ssrc=847530218 packets_in=64 packets_out=21
event=rtp_tx session_id=day4-verify-session seq=48447 ts=3217620242 ssrc=847530218 packets_in=64 packets_out=22
event=rtp_tx session_id=day4-verify-session seq=48448 ts=3217620402 ssrc=847530218 packets_in=64 packets_out=23
event=rtp_tx session_id=day4-verify-session seq=48449 ts=3217620562 ssrc=847530218 packets_in=64 packets_out=24
event=rtp_tx session_id=day4-verify-session seq=48450 ts=3217620722 ssrc=847530218 packets_in=64 packets_out=25
event=rtp_tx session_id=day4-verify-session seq=48451 ts=3217620882 ssrc=847530218 packets_in=64 packets_out=26
event=rtp_tx session_id=day4-verify-session seq=48452 ts=3217621042 ssrc=847530218 packets_in=64 packets_out=27
event=rtp_tx session_id=day4-verify-session seq=48453 ts=3217621202 ssrc=847530218 packets_in=64 packets_out=28
event=rtp_tx session_id=day4-verify-session seq=48454 ts=3217621362 ssrc=847530218 packets_in=64 packets_out=29
event=rtp_tx session_id=day4-verify-session seq=48455 ts=3217621522 ssrc=847530218 packets_in=64 packets_out=30
event=rtp_tx session_id=day4-verify-session seq=48456 ts=3217621682 ssrc=847530218 packets_in=64 packets_out=31
event=rtp_tx session_id=day4-verify-session seq=48457 ts=3217621842 ssrc=847530218 packets_in=64 packets_out=32
event=rtp_tx session_id=day4-verify-session seq=48458 ts=3217622002 ssrc=847530218 packets_in=64 packets_out=33
event=rtp_tx session_id=day4-verify-session seq=48459 ts=3217622162 ssrc=847530218 packets_in=64 packets_out=34
event=rtp_tx session_id=day4-verify-session seq=48460 ts=3217622322 ssrc=847530218 packets_in=64 packets_out=35
event=rtp_tx session_id=day4-verify-session seq=48461 ts=3217622482 ssrc=847530218 packets_in=64 packets_out=36
event=rtp_tx session_id=day4-verify-session seq=48462 ts=3217622642 ssrc=847530218 packets_in=64 packets_out=37
event=rtp_tx session_id=day4-verify-session seq=48463 ts=3217622802 ssrc=847530218 packets_in=64 packets_out=38
